#f		err f     D1-Stat		D1-Sweep  	D2-Stat  D2-Sweep
#kHz	-------------Umdrehungen-------------------------
#						  |		+-0.02
102.1		0.1     0.09		    5.96				0.09		7.15
200			1       0.18		    4.75				0.18		7.11
300			1       0.25		    3.47				0.25		7.01
399			1       0.33		    2.34				0.33		7.08
502			1       0.43		    0.65				0.43		6.61
601			1       0.47		    1.24				0.47		8.36
699			1       0.51		    1.51				0.53		8.82
800			1       0.53		    2.91				0.70		5.35
900			1       0.61		    2.27				0.74		6.91
1000		1       0.70		    0.60				0.82		6.89
